Institution,Service,URL,Present,Notes
Pennsylvania State University,Data_analysis_consult,https://guides.libraries.psu.edu/c.php?g=894031&p=6889383,y,
Stanford University,Data_analysis_consult,https://ssds.stanford.edu/consulting-workshops/walk-consulting,y,
University of Arizona,Data_analysis_consult,https://new.library.arizona.edu/research/support/data,y,
"University of California, Davis",Data_analysis_consult,https://www.library.ucdavis.edu/service/digital-scholarship/,y,
"University of California, Los Angeles",Data_analysis_consult,https://www.library.ucla.edu/datasquad,n,
"University of California, Los Angeles",Data_analysis_consult,https://www.library.ucla.edu/support/support-instructors/teaching-consultations-assignment-design,n,
"University of Colorado, Boulder",Data_analysis_consult,https://calendar.colorado.edu/event/interdisciplinary_data_consult_hours_5549?utm_campaign=widget&utm_medium=widget&utm_source=University+of+Colorado+Boulder,y,
University of Florida,Data_analysis_consult,http://arcs.uflib.ufl.edu/services/datascience/,y,
University of Iowa,Data_analysis_consult,https://www.lib.uiowa.edu/data/data-analysis/,n,
"University of Maryland, College Park",Data_analysis_consult,https://www.lib.umd.edu/rc/data-science,y,
"University of Minnesota, Twin Cities",Data_analysis_consult,https://www.lib.umn.edu/datamanagement/computing,n,
University of North Carolina at Chapel Hill,Data_analysis_consult,https://guides.lib.unc.edu/mattjansen,y,
University of Oregon,Data_analysis_consult,https://library.uoregon.edu/research-data-management/consultations,y,
University of Southern California,Data_analysis_consult,https://libguides.usc.edu/healthsciences/nml-bioinfo,n,
Washington State University,Data_analysis_consult,https://ciser.wsu.edu/initial-meeting-request/,n,
Arizona State University,Data_analysis_instruction,https://lib.asu.edu/data/open-lab,y,
Michigan State University,Data_analysis_instruction,http://libguides.lib.msu.edu/c.php?g=96626&p=626740,n,
Michigan State University,Data_analysis_instruction,https://lib.msu.edu/rdmg/servcat/cstat/,n,
Ohio State University,Data_analysis_instruction,https://hslguides.osu.edu/hsl_du_software/home,n,
Pennsylvania State University,Data_analysis_instruction,https://libraries.psu.edu/about/departments/research-informatics-and-publishing/training-events,y,
Stanford University,Data_analysis_instruction,https://library.stanford.edu/research/cidr/workshops,y,
University of Arizona,Data_analysis_instruction,https://new.library.arizona.edu/events/r-programming-help,n,
"University of California, Berkeley",Data_analysis_instruction,https://guides.lib.berkeley.edu/publichealth/ph210,n,
"University of California, Davis",Data_analysis_instruction,https://www.library.ucdavis.edu/service/data-management/data-management-program-workshops-events/,n,
"University of California, Los Angeles",Data_analysis_instruction,https://www.library.ucla.edu/events/hands-introduction-literate-programming-aug-25-2017,n,
"University of Colorado, Boulder",Data_analysis_instruction,https://osf.io/36mj4/,n,
University of Florida,Data_analysis_instruction,http://arcs.uflib.ufl.edu/services/datascience/,y,
University of Illinois at Urbana-Champaign,Data_analysis_instruction,https://guides.library.illinois.edu/STATA,n,
University of Iowa,Data_analysis_instruction,http://www.lib.uiowa.edu/data/events/,n,
University of Iowa,Data_analysis_instruction,https://www.lib.uiowa.edu/news-and-events/event/?id=53141,y,
"University of Maryland, College Park",Data_analysis_instruction,https://lib.guides.umd.edu/c.php?g=327087&p=3506810,n,
"University of Maryland, College Park",Data_analysis_instruction,https://www.lib.umd.edu/rc/data-science,y,
"University of Minnesota, Twin Cities",Data_analysis_instruction,https://www.lib.umn.edu/datamanagement/computing,n,
University of North Carolina at Chapel Hill,Data_analysis_instruction,https://guides.lib.unc.edu/mattjansen,y,
University of North Carolina at Chapel Hill,Data_analysis_instruction,https://library.unc.edu/hub/services/statistical-consulting/,n,
