Institution,Service,URL,Present,Notes
Michigan State University,Data_analysis_consult,http://libguides.lib.msu.edu/dataanalysis,n,Library Data Services does not assist in the analysis of data
Michigan State University,Data_analysis_consult,https://lib.msu.edu/rdmg/servcat/cstat/,n,This seems to be a separate page
Ohio State University,Data_analysis_consult,https://hslguides.osu.edu/hsl_du_software/home,n,landing page with info it seems
Pennsylvania State University,Data_analysis_consult,https://guides.libraries.psu.edu/c.php?g=894031&p=6889383,y,
Stanford University,Data_analysis_consult,https://ssds.stanford.edu/consulting-workshops/walk-consulting,y,Seems to allow for consultations
University of Arizona,Data_analysis_consult,https://new.library.arizona.edu/research/support/data,y,
"University of California, Davis",Data_analysis_consult,https://www.library.ucdavis.edu/service/digital-scholarship/,y,
"University of California, Los Angeles",Data_analysis_consult,https://www.library.ucla.edu/datasquad,y,
"University of California, Los Angeles",Data_analysis_consult,https://www.library.ucla.edu/support/support-instructors/teaching-consultations-assignment-design,n,"consulation yes, but unclear"
"University of Colorado, Boulder",Data_analysis_consult,https://calendar.colorado.edu/event/interdisciplinary_data_consult_hours_5549?utm_campaign=widget&utm_medium=widget&utm_source=University+of+Colorado+Boulder,y,they have their own center
University of Florida,Data_analysis_consult,http://arcs.uflib.ufl.edu/services/datascience/,n,Not clear they offer data analysis
University of Iowa,Data_analysis_consult,https://www.lib.uiowa.edu/data/data-analysis/,n,Seems to be other data analysis resources
"University of Maryland, College Park",Data_analysis_consult,https://www.lib.umd.edu/rc/data-science,y,
"University of Minnesota, Twin Cities",Data_analysis_consult,https://www.lib.umn.edu/datamanagement/computing,n,seems to be other services
University of North Carolina at Chapel Hill,Data_analysis_consult,https://guides.lib.unc.edu/mattjansen,y,staff page
University of Oregon,Data_analysis_consult,https://library.uoregon.edu/research-data-management/consultations,y,link provided for appt
University of Southern California,Data_analysis_consult,https://libguides.usc.edu/healthsciences/nml-bioinfo,n,services but does not seem to be consultation
Washington State University,Data_analysis_consult,https://ciser.wsu.edu/initial-meeting-request/,n,unclear what services they offer for meeting requests
Arizona State University,Data_analysis_instruction,https://lib.asu.edu/data/open-lab,y,
Michigan State University,Data_analysis_instruction,http://libguides.lib.msu.edu/c.php?g=96626&p=626740,n,
Michigan State University,Data_analysis_instruction,https://lib.msu.edu/rdmg/servcat/cstat/,n,not clear CSTAT is part of library
Ohio State University,Data_analysis_instruction,https://hslguides.osu.edu/hsl_du_software/home,n,no clear workshop
Pennsylvania State University,Data_analysis_instruction,https://libraries.psu.edu/about/departments/research-informatics-and-publishing/training-events,y,
Stanford University,Data_analysis_instruction,https://library.stanford.edu/research/cidr/workshops,y,
University of Arizona,Data_analysis_instruction,https://new.library.arizona.edu/events/r-programming-help,y,
"University of California, Berkeley",Data_analysis_instruction,https://guides.lib.berkeley.edu/publichealth/ph210,n,This is only public health
"University of California, Davis",Data_analysis_instruction,https://www.library.ucdavis.edu/service/data-management/data-management-program-workshops-events/,y,Carpentry primarily
"University of California, Los Angeles",Data_analysis_instruction,https://www.library.ucla.edu/events/hands-introduction-literate-programming-aug-25-2017,n,previous info not available/findable
"University of Colorado, Boulder",Data_analysis_instruction,https://osf.io/36mj4/,n,Organized but unclear if they are providing instructions recently
University of Florida,Data_analysis_instruction,http://arcs.uflib.ufl.edu/services/datascience/,n,Say they do but unclear if they done so recently
University of Illinois at Urbana-Champaign,Data_analysis_instruction,https://guides.library.illinois.edu/STATA,n,workshops through CITL. Not sure if that's part of libraries
