Institution,Service,URL,Present,Notes
University of Iowa,Data_visualization_software_consult,https://www.lib.uiowa.edu/data/data-analysis/,Y,
"University of Minnesota, Twin Cities",Data_visualization_software_consult,https://libguides.umn.edu/c.php?g=921727&p=6644331,N,Broken link
University of North Carolina at Chapel Hill,Data_visualization_software_consult,https://guides.lib.unc.edu/lorinbruckner,Y,
University of Oregon,Data_visualization_software_consult,https://library.uoregon.edu/psc-visualization-lab,Y,
Arizona State University,Data_visualization_software_instruction,https://lib.asu.edu/data/open-lab,Y,*Repeat from above
Arizona State University,Data_visualization_software_instruction,https://lib.asu.edu/librarychannel/Competition-Telling-stories-data,N,This is for a competition about data viz no idea if that would work for this?
Michigan State University,Data_visualization_software_instruction,http://digitalscholarshiplab.msu.edu/using-the-lab/experts/,Y,*Repeat from above
Michigan State University,Data_visualization_software_instruction,http://digitalscholarshiplab.msu.edu/using-the-lab/lab-technology/,N,This is just about tech they use at the school
Ohio State University,Data_visualization_software_instruction,https://library.osu.edu/researchcommons/help/visualizing-data,Y,
Pennsylvania State University,Data_visualization_software_instruction,https://guides.libraries.psu.edu/data-analytics-visualization,Y,*Repeat from above
Pennsylvania State University,Data_visualization_software_instruction,https://libraries.psu.edu/about/departments/research-informatics-and-publishing/advanced-analytics-and-visualization-digital,N,
Stanford University,Data_visualization_software_instruction,https://library.stanford.edu/events/data-visualization-tableau,Y,*Repeat
Stanford University,Data_visualization_software_instruction,https://library.stanford.edu/research/data-management-services/consulting-training-and-other-services,Y,
University of Arizona,Data_visualization_software_instruction,https://libguides.library.arizona.edu/dighumantools/dataviz,Y,
"University of California, Berkeley",Data_visualization_software_instruction,https://dlab.berkeley.edu/,Y,
"University of California, Davis",Data_visualization_software_instruction,https://datalab.ucdavis.edu/instructional-support/,N,
"University of California, Davis",Data_visualization_software_instruction,https://www.library.ucdavis.edu/service/data-management/data-management-program-workshops-events/,Y,This link is better than the one above for the same school
"University of California, Los Angeles",Data_visualization_software_instruction,https://www.library.ucla.edu/events/intro-tableau-public,Y,
"University of California, Los Angeles",Data_visualization_software_instruction,https://www.library.ucla.edu/support/research-help/research-data-services,Y,
"University of Colorado, Boulder",Data_visualization_software_instruction,https://osf.io/36mj4/,Y,
University of Florida,Data_visualization_software_instruction,https://guides.uflib.ufl.edu/images,Y,
University of Illinois at Urbana-Champaign,Data_visualization_software_instruction,https://guides.library.illinois.edu/visualize-your-data/,N,
University of Illinois at Urbana-Champaign,Data_visualization_software_instruction,https://www.library.illinois.edu/sc/services/data-visualization/,N,See below
University of Iowa,Data_visualization_software_instruction,https://ppc.uiowa.edu/isrc/methods-consulting,N,This site can direct you to the above link some what the same from same univeristy
