Institution ID,University Name,High Performance Computing,Library [Consulting],Library [Training Events],Library [Back End Work],Library [Front End Work],Library Link,IT Department [Consulting],IT Department [Training Events],IT Department [Back End Work],IT Department [Front End Work],IT Department Link,Independent Center/Institute 1,Independent Center/Institute 1 Staffing,Independent Center/Institute 1 Link,Independent Center/Institute 2,Independent Center/Institute 2 Staffing,Independent Center/Institute 2 Link,Independent Center/Institute 3,Independent Center/Institute 3 Staffing,Independent Center/Institute 3 Link,Independent Center/Institute 4,Independent Center/Institute 4 Staffing,Independent Center/Institute 4 Link,Independent Center/Institute 5,Independent Center/Institute 5 Staffing,Independent Center/Institute 5 Link,Department 1,Department 1 Staffing,Department 1 Link,Department 2,Department 2 Staffing,Department 2 Link,Department 3,Department 3 Staffing,Department 3 Link,Medical School 1,Medical School 1 Staffing,Medical School 1 Link,Medical School 2,Medical School 2 Staffing,Medical School 2 Link,Medical School 3,Medical School 2 Staffing,Medical School 3 Link,Medical School 4,Medical School 4 Staffing,Medical School 4 Link,Business School 1,Business School 1 Staffing,Business School 1 Link,Business School 2,Business School 2 Staffing,Business School 2 Link,Business School 3,Business School 3 Staffing,Business School 3 Link,Other 1,Other 1 Staffing,Other 1 Link,Other 2,Other 2 Staffing,Other 2 Link,Other 3,Other 3 Staffing,Other 3 Link,Other 4,Other 4 Staffing,Other 4 Link,Other 5,Other 5 Staffing,Other 5 Link,Notes
R1.021,The University of Texas at Dallas,IT Department,,,,,https://www.utdallas.edu/library/services/,General,,,,https://www.utdallas.edu/oit/departments/circ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://jindal.utdallas.edu/,,,,,,,,,,,,,,,,,,,,,,
R1.023,Columbia University in the City of New York,IT Department,"General, Geospatial","General, Geospatial",,,https://library.columbia.edu/services/research-data-services.html,,,,,https://cuit.columbia.edu/services,,,,,,,,,,,,,,,,Statistics,"Faculty, Staff",http://www.sac-cu.org/Data.aspx,Statistics,Staff,http://stat.columbia.edu/consulting-information/,,,,Statistics,"Faculty, Staff",https://www.irvinginstitute.columbia.edu/about-us/resources-and-cores/biostatistics-epidemiology-and-research-design-berd,Bioinformatics,"Faculty, Staff",https://www.irvinginstitute.columbia.edu/about-us/resources-and-cores/biomedical-informatics-resource-bmir,Clinical Data,"Faculty, Staff",https://www.irvinginstitute.columbia.edu/services/clinical-data-warehouse-cdw-navigator-support,,,,,,https://www8.gsb.columbia.edu/,,,,,,,Statistics,"Faculty, Staff",https://www.mailman.columbia.edu/bridge/consulting,,,,,,,,,,,,,Other 1: School of public health 
R1.024,Mississippi State University,Independent Center/Institute,General,General,,,http://lib.msstate.edu/researchers/data-management/sensitive-data/,,,,,https://www.its.msstate.edu/services/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.business.msstate.edu/,,,,,,,,,,,,,,,,,,,,,,
R1.025,Case Western Reserve University,IT Department,Geospatial,,,,https://case.edu/library/research/digital-scholarship,General,General,,,https://case.edu/utech/services,,,,,,,,,,,,,,,,,,,,,,,,,Bioinformatics,"Faculty, Staff",https://case.edu/cancer/research/shared-resources/biostatistics-and-bioinformatics,Statistics,"Faculty, Staff",https://case.edu/cancer/research/shared-resources/biostatistics-and-bioinformatics,General,"Faculty, Staff",https://case.edu/cancer/research/shared-resources/integrated-genomics,Bioinformatics,"Faculty, Staff",https://case.edu/cancer/research/shared-resources/population-cancer-analytics,,,https://weatherhead.case.edu/,,,,,,,General,Staff,https://case.edu/nursing/research/center-research-and-scholarship/data-management,Bioinformatics,Staff,https://case.edu/medicine/cddrcc/cores/clinical-component,Bioinformatics,Staff,https://case.edu/medicine/research/som-core-facilities/data-analytics-core,Bioinformatics,"Faculty, Staff",https://case.edu/nursing/research/centers-excellence/smart-center/cores/neuroscience-core,,,,"
Other 1: Nursing school
Other 2, 3, 4: Center in the Med school just ran out of Med school slots"
R1.026,University of California-Davis,IT Department,"General, Geospatial",General,,,https://www.library.ucdavis.edu/service/data-management/,,,,General,https://itcatalog.ucdavis.edu/,Statistics,Staff,https://www.ssds.ucdavis.edu/consulting,Bioinformatics,Staff,https://bioinformatics.ucdavis.edu/projects/,,,https://dnatech.genomecenter.ucdavis.edu/consultations/,,,,,,,Statistics,"Faculty, Staff",https://statistics.ucdavis.edu/services,,,,,,,Bioinformatics,Staff,https://health.ucdavis.edu/ctsc/area/informatics/index.html,Statistics,Staff,https://health.ucdavis.edu/ctsc/area/biostatistics/index.html,,,,,,,,,https://gsm.ucdavis.edu/,,,,,,,,,,,,,,,,,,,,,,
R1.027,University of Delaware,IT Department,,,,,https://guides.lib.udel.edu/c.php?g=371489,"General, Geospatial",,,,https://sites.udel.edu/research-computing/datamanagement/,Bioinformatics,"Faculty, Staff",https://bioinformatics.udel.edu/core/services/,,,,,,,,,,,,,Social Sciences,Staff,https://canr.udel.edu/apec/affiliated-programs-centers/statlab/,,,,,,,,,,,,,,,,,,,,,https://lerner.udel.edu/,,,,,,,,,,,,,,,,,,,,,,
R1.028,University of Nevada-Las Vegas,Independent Center/Institute,,,,,https://guides.library.unlv.edu/datamanagement/whatis,"General, Social Science emphasis",,,General,https://www.it.unlv.edu/it-services/category/support-help,Statistics,"Faculty, Staff",https://www.unlv.edu/sciences/centers,,,,,,,,,,,,,,,,,,,,,,,,https://www.unlv.edu/medicine,,,,,,,,,,Statistics,"Faculty, Staff",https://cber.unlv.edu/survey.html,,,,,,,,,,,,,,,,,,,,,,
R1.029,University of New Hampshire-Main Campus,Independent Center/Institute,"General, Geospatial, Statistical",,,,https://www.library.unh.edu/research-support/data-services,General,,,,https://www.unh.edu/it/,Statistics,Staff,https://www.unh.edu/research/research-computing/services,Visualization,Staff,https://www.unh.edu/research/research-computing/services,Social Sciences,Staff,https://www.unh.edu/research/support-units/uic ,Bioinformatics,"Staff, Students",https://hcgs.unh.edu/Bioinformatics,,,,Statistics,"Faculty, Students",https://ceps.unh.edu/mathematics-statistics/statistics-consulting-services,,,,,,,,,,,,,,,,,,,,,https://paulcollege.unh.edu/,,,,,,,Social Sciences,Staff,https://cola.unh.edu/unh-survey-center/services,,,,,,,,,,,,,
R1.030,University of California-Berkeley,IT Department,"General, Geospatial",,General,,http://www.lib.berkeley.edu/research-support/data-gis,"General, Digital Humanities emphasis, Other",,,,https://research-it.berkeley.edu/programs,,,,,,,,,,,,,,,,Statistics,"Faculty, Students",http://statistics.berkeley.edu/consulting,,,,,,,,,,,,,,,,,,,,,https://haas.berkeley.edu/,,,,,,,Geospatial,Staff,http://gif.berkeley.edu/services/consulting.html,Social Sciences,"Faculty, Staff",https://www.populationsciences.berkeley.edu/resources/data-computing,,,,,,,,,,"Other 1: College of natural resources
Other 2: School of public health
Other in IT Department Grid: Museum Informatics data consulting"
R1.031,University at Buffalo,IT Department,,,,,https://research.lib.buffalo.edu/data-management/home,,,,,http://www.buffalo.edu/ubit/services/by-category.html,,,,,,,,,,,,,,,,,,,,,,,,,Bioinformatics,"Faculty, Staff",http://www.buffalo.edu/ctsi/cores/berd.html,Bioinformatics,Staff,http://www.buffalo.edu/ctsi/cores/informatics.html,Bioinformatics,Staff,http://www.buffalo.edu/ccr/services/services/bioinformatics.html,General,Staff,http://www.buffalo.edu/ccr/services/services/machine-learning---artificial-intelligence.html,,,http://mgt.buffalo.edu/,,,,,,,Visualization,Staff,http://www.buffalo.edu/ccr/services/services/visualization.html,Statistics,"Faculty, Staff",http://medicine.buffalo.edu/departments/medicine/divisions/behavioral-medicine/research/crcl.html,,,,,,,,,,Other 1 & 2: Med school overflow
